#  tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)
1.160000e+00  2.748880e-03  -4.130000e-04  1.262640e-04  -5.283084e-04  2.517862e-05  -6.156883e-04  5.059645e-02  -1.069429e-02  4.993939e-02  -1.100654e-02  4.969934e-02  -1.149514e-02  6.705811e-03  2.821186e-02  6.547407e-03  2.743142e-02  6.552200e-03  2.813231e-02
1.175000e+00  2.990115e-03  -6.284828e-04  6.933609e-05  -4.536166e-04  -4.559537e-05  -5.235698e-04  5.553443e-02  -1.315037e-02  5.469689e-02  -1.329193e-02  5.450316e-02  -1.375088e-02  4.921202e-03  2.996737e-02  4.627858e-03  2.942238e-02  4.574829e-03  3.017073e-02
1.190000e+00  3.127794e-03  -8.997112e-04  -7.004989e-05  -4.523768e-04  -2.044870e-04  -5.110198e-04  5.892861e-02  -1.671424e-02  5.788881e-02  -1.670942e-02  5.774865e-02  -1.713733e-02  4.788920e-03  3.204350e-02  4.323506e-03  3.179244e-02  4.183282e-03  3.259212e-02
1.205000e+00  3.262470e-03  -1.138407e-03  -1.693557e-04  -4.061894e-04  -3.193866e-04  -4.518470e-04  6.133813e-02  -2.068907e-02  6.023869e-02  -2.056950e-02  6.013592e-02  -2.099922e-02  4.389295e-03  3.312065e-02  3.871471e-03  3.314209e-02  3.660141e-03  3.396173e-02
1.220000e+00  3.456291e-03  -1.324281e-03  -2.131811e-04  -3.437307e-04  -3.759617e-04  -3.777003e-04  6.387668e-02  -2.361145e-02  6.271578e-02  -2.342331e-02  6.262551e-02  -2.386913e-02  3.367633e-03  3.355352e-02  2.720760e-03  3.380068e-02  2.457762e-03  3.461009e-02
1.235000e+00  3.613618e-03  -1.502343e-03  -2.901625e-04  -3.020647e-04  -4.690397e-04  -3.247581e-04  6.599537e-02  -2.624087e-02  6.477068e-02  -2.595083e-02  6.468974e-02  -2.638606e-02  3.475368e-03  3.428746e-02  2.773774e-03  3.478269e-02  2.493890e-03  3.559538e-02
1.250000e+00  3.774915e-03  -1.646071e-03  -3.272896e-04  -2.533189e-04  -5.165497e-04  -2.656784e-04  6.736273e-02  -2.824714e-02  6.606993e-02  -2.779908e-02  6.600491e-02  -2.825365e-02  3.106732e-03  3.478955e-02  2.456628e-03  3.542650e-02  2.172078e-03  3.624113e-02
1.265000e+00  3.927959e-03  -1.837431e-03  -3.679541e-04  -2.691802e-04  -5.684569e-04  -2.769969e-04  6.880289e-02  -3.126515e-02  6.733823e-02  -3.053686e-02  6.728429e-02  -3.100667e-02  1.796148e-03  3.473303e-02  1.169785e-03  3.534996e-02  8.479868e-04  3.613073e-02
1.280000e+00  3.978039e-03  -2.065748e-03  -4.872534e-04  -3.066769e-04  -7.073779e-04  -3.044264e-04  6.928167e-02  -3.466818e-02  6.762350e-02  -3.368914e-02  6.757111e-02  -3.411539e-02  2.205217e-03  3.517547e-02  1.557356e-03  3.571412e-02  1.231250e-03  3.646564e-02
1.295000e+00  4.053976e-03  -2.267824e-03  -5.269726e-04  -3.196648e-04  -7.600022e-04  -3.052171e-04  6.817440e-02  -3.731357e-02  6.633099e-02  -3.625953e-02  6.620608e-02  -3.662691e-02  4.561627e-03  3.592824e-02  3.907757e-03  3.644391e-02  3.618791e-03  3.718391e-02
1.310000e+00  4.151648e-03  -2.391153e-03  -5.468318e-04  -2.755173e-04  -7.896515e-04  -2.481917e-04  6.813165e-02  -4.007387e-02  6.599350e-02  -3.896836e-02  6.581230e-02  -3.932954e-02  6.212226e-03  3.669073e-02  5.535197e-03  3.729179e-02  5.270783e-03  3.803852e-02
1.325000e+00  4.114966e-03  -2.499782e-03  -6.538691e-04  -2.655807e-04  -9.102878e-04  -2.290788e-04  6.739630e-02  -4.225608e-02  6.501407e-02  -4.113495e-02  6.482904e-02  -4.146999e-02  7.674195e-03  3.578851e-02  6.939295e-03  3.642960e-02  6.700942e-03  3.717227e-02
